# U  mu  Z_1 Z_2 lamda_1 lamda_2 h_1 h_2 n_f_1 n_f_2 n_s_1 n_s_2 
1.18 3.1901170604965813e-06 0.870942723143597 0.870942723143597 0.0 0.0 -0.19804768559376737 -0.19804768559376737 0.4999999999998088 0.4999999999998088 0.49999999999999956 0.4999999999999997
1.19 3.1325571094459726e-06 0.8688052487389814 0.8688052487389814 0.0 0.0 -0.19780471333868838 -0.19780471333868838 0.5000000011682897 0.5000000011682897 0.4999999999999999 0.49999999999999983
1.2 3.1267418040488193e-06 0.8666452340554441 0.8666452340554441 0.0 0.0 -0.1975588782514162 -0.1975588782514162 0.5000000000355442 0.5000000000355442 0.4999999999999998 0.5
1.21 3.120850726855545e-06 0.864462380219128 0.864462380219128 0.0 0.0 -0.1973101352040638 -0.19731013520406376 0.5000000000005461 0.5000000000005461 0.5 0.4999999999999999
1.22 3.11488012878998e-06 0.8622550028398617 0.8622550028398617 0.0 0.0 -0.19705727778351648 -0.19705727778351648 0.49999999999951317 0.49999999999951317 0.4999999999999999 0.49999999999999967
1.23 3.108836994458118e-06 0.860025425344408 0.8600254253444078 0.0 0.0 -0.19680250373175073 -0.19680250373175073 0.4999999999994871 0.4999999999994871 0.49999999999999983 0.5
1.24 3.102717969574803e-06 0.857772117938863 0.857772117938863 0.0 0.0 -0.19654472926273983 -0.19654472926273983 0.49999999999948547 0.49999999999948547 0.49999999999999994 0.4999999999999999
1.25 3.096522841690025e-06 0.8554946891157903 0.8554946891157901 0.0 0.0 -0.19628385629262696 -0.19628385629262696 0.49999999999948463 0.49999999999948463 0.49999999999999956 0.49999999999999967
1.26 3.0902515948548738e-06 0.853192791395266 0.853192791395266 0.0 0.0 -0.1960198307930949 -0.19601983079309487 0.4999999999994844 0.4999999999994844 0.4999999999999999 0.4999999999999997
1.27 3.0839001841646743e-06 0.8508645691679523 0.8508645691679518 0.0 0.0 -0.19575143817631313 -0.19575143817631313 0.49999999999953343 0.49999999999953343 0.5 0.49999999999999994
1.28 3.0774765525912174e-06 0.8485125334951421 0.8485125334951419 0.0 0.0 -0.19548087045853457 -0.19548087045853457 0.4999999999995392 0.4999999999995392 0.4999999999999999 0.49999999999999983
1.29 3.070977286155215e-06 0.8461349911874293 0.8461349911874291 0.0 0.0 -0.19520703235973957 -0.19520703235973952 0.499999999999541 0.499999999999541 0.4999999999999998 0.4999999999999999
1.3 3.0644024614807007e-06 0.8437314946215146 0.8437314946215144 0.0 0.0 -0.19492981919047356 -0.19492981919047356 0.49999999999954314 0.49999999999954314 0.4999999999999999 0.4999999999999999
1.31 3.0577523856198157e-06 0.8413016410125966 0.8413016410125969 0.0 0.0 -0.19464916840286714 -0.19464916840286714 0.49999999999954603 0.49999999999954603 0.5 0.5
1.32 3.0510229589930175e-06 0.8388433739641807 0.8388433739641807 0.0 0.0 -0.1943638472790508 -0.1943638472790508 0.4999999999995924 0.4999999999995924 0.4999999999999998 0.4999999999999998
1.33 3.0442232867388185e-06 0.8363594209334078 0.8363594209334078 0.0 0.0 -0.1940760563256348 -0.1940760563256348 0.49999999999960043 0.49999999999960043 0.49999999999999983 0.49999999999999983
1.34 3.0373499974195063e-06 0.8338478978048921 0.8338478978048921 0.0 0.0 -0.193784680399847 -0.19378468039984703 0.49999999999960576 0.49999999999960576 0.49999999999999967 0.4999999999999998
1.35 3.030403602490484e-06 0.8313082890833745 0.8313082890833745 0.0 0.0 -0.19348960572457147 -0.19348960572457147 0.49999999999961176 0.49999999999961176 0.4999999999999998 0.4999999999999998
1.36 3.023384891375437e-06 0.8287401251258372 0.8287401251258372 0.0 0.0 -0.193190759254677 -0.19319075925467702 0.4999999999996188 0.4999999999996188 0.5 0.49999999999999994
1.37 3.0162898404485643e-06 0.826141110436101 0.826141110436101 0.0 0.0 -0.19288687833610965 -0.1928868783361097 0.49999999999966216 0.49999999999966216 0.49999999999999967 0.4999999999999996
1.3800000000000001 3.009128987223679e-06 0.8235142251995199 0.8235142251995197 0.0 0.0 -0.19258018805464056 -0.19258018805464056 0.4999999999996739 0.4999999999996739 0.49999999999999956 0.4999999999999998
1.3900000000000001 3.0018991707319404e-06 0.8208573587979668 0.8208573587979672 0.0 0.0 -0.192269543359249 -0.192269543359249 0.4999999999996838 0.4999999999996838 0.49999999999999994 0.4999999999999999
1.4000000000000001 2.994601557868802e-06 0.8181699122962127 0.8181699122962126 0.0 0.0 -0.19195481827962735 -0.19195481827962735 0.49999999999969486 0.49999999999969486 0.4999999999999999 0.49999999999999994
1.41 2.9872324241843655e-06 0.8154493952753814 0.8154493952753814 0.0 0.0 -0.19163473550982918 -0.19163473550982918 0.4999999999997352 0.4999999999997352 0.49999999999999967 0.4999999999999997
