# U m1 m2 mu_new d_1 d_2 d_inter Z1_up_n Z1_down_n Z2_up_n Z2_down_n lamda1_up_new lamda2_up_new lamda1_down_new lamda2_down_new h1_new_up h1_new_down h2_new_up h2_new_down lamda1_0_up lamda1_0_down lamda2_0_up lamda2_0_down f1_up f1_down f2_up f2_down spin_occ_1up spin_occ_1down spin_occ_2up spin_occ_2down 
2.0 0.906505702222937 0.9065057022254782 -0.008865698388825057 0.041540379238757655 0.041540379239124306 0.996667449650566 0.9790463029154319 0.9790357578108009 0.9790463029496156 0.979035757844865 1.0755494452789454 1.0755494452835412 -1.0752778911397765 -1.0752778911444736 -0.10207370333737309 -0.10207425371416064 -0.1020737033368077 -0.10207425371359316 2.054710815178976 -2.054446432866825 2.0547108152623403 -2.0544464329499985 0.0467442954006876 0.9532499976236246 0.04674429539941693 0.9532499976248952 0.04679458113147489 0.9532003349613967 0.04679458113191781 0.9532003349609594
2.1 0.9155884903865397 0.9155884903859905 -0.00952770756863151 0.03789551560157961 0.03789551560153992 0.9972037192861681 0.9807276717728846 0.980717554721229 0.9807276717657684 0.9807175547139063 1.1400019311865708 1.1400019311839993 -1.1396825858395496 -1.139682585837383 -0.097514578973617 -0.09751508264627569 -0.0975145789737492 -0.09751508264641273 2.187413780978535 -2.187103805719646 2.1874137809586487 -2.187103805699643 0.042202901318886155 0.9577913917054258 0.04220290131916072 0.9577913917051513 0.042253061352179766 0.9577417743669445 0.04225306135213591 0.9577417743669978
2.2 0.9234324100390205 0.9234324100377111 -0.01017830279705748 0.03469055872733262 0.03469055872709324 0.9976396444209247 0.9822863729339092 0.9822765577536519 0.9822863729107616 0.982276557730595 1.2043703838623656 1.204370383860844 -1.203998460616785 -1.2039984606150531 -0.09331257068023695 -0.09331303748357114 -0.09331257068057405 -0.09331303748390461 2.3197231051628324 -2.3193624394419805 2.3197231051024945 -2.319362439381677 0.03828094149264567 0.9617133515316663 0.03828094149330042 0.9617133515310116 0.038331127596315295 0.9616636447605167 0.03833112759602969 0.9616636447607988
2.3000000000000003 0.930246436362602 0.9302464363624431 -0.010817484074108721 0.031861406802833156 0.031861406802785895 0.9979960088438958 0.9837273394353345 0.9837177117686701 0.983727339431622 0.9837177117647667 1.2686409460910244 1.2686409460916117 -1.2682114187451887 -1.2682114187459863 -0.08943323053639284 -0.08943366872128546 -0.08943323053643602 -0.08943366872132615 2.4516135786513966 -2.4511968813470872 2.451613578642156 -2.4511968813375358 0.0348739283308551 0.9651203646934571 0.034873928330934494 0.9651203646933776 0.03492412643042403 0.965070595556125 0.034924126430365965 0.96507059555619
2.4000000000000004 0.9361992237580447 0.9361992237567247 -0.011445251399787248 0.029354266765280135 0.029354266765017782 0.9982890122703758 0.9850593417208773 0.9850497923316901 0.9850593416920485 0.9850497923027518 1.3328078065262656 1.332807806524912 -1.3323154218025781 -1.3323154218013513 -0.08584497172141071 -0.08584538833092283 -0.08584497172179485 -0.08584538833130538 2.5830838497591504 -2.5826055308383284 2.5830838496775845 -2.582605530756591 0.0318975346331337 0.9680967583911784 0.03189753463379368 0.9680967583905183 0.031947710679209484 0.9680469711121071 0.0319477106789024 0.968046971112418
2.5 0.9414274886072524 0.9414274886083697 -0.01206731174977831 0.027123984152357297 0.02712398415251558 0.9985313044873032 0.9862924455580722 0.9862828711823749 0.9862924455821194 0.9862828712058129 1.3968714766387704 1.39687147664344 -1.3963107485071125 -1.3963107485133823 -0.08251923209083704 -0.08251963308297079 -0.08251923209047873 -0.08251963308263141 2.714147919152895 -2.713602137078991 2.714147919227627 -2.713602137153492 0.029283402208529766 0.9707108908157822 0.029283402207971206 0.9707108908163409 0.02933354015564149 0.9706611094224571 0.029333540155818072 0.970661109422299
2.6 0.9460425239880883 0.9460425239827615 -0.012683665124078902 0.025132686301810935 0.02513268630085291 0.9987327838558623 0.987438302940619 0.9874286026450341 0.9874383028071564 0.9874286025111125 1.4608323345881984 1.4608323345732634 -1.4601975564292966 -1.4601975564155734 -0.07943048368308303 -0.07943087427786895 -0.07943048368481805 -0.07943087427961441 2.8448287661547553 -2.8442094284202515 2.844828765735528 -2.8442094280008883 0.026975884518111802 0.9730184085062001 0.026975884520775244 0.9730184085035367 0.027026035353141797 0.9729685883886239 0.02702603535205178 0.9729685883897277
2.7 0.9501354228906249 0.9501354229120332 -0.013294311522692028 0.023348411458147738 0.02334841146195493 0.9989012425270867 0.9885038855143539 0.9884939600294167 0.9885038860929937 0.9884939606077298 1.5246935777484514 1.5246935778202353 -1.523978822442601 -1.5239788225152773 -0.07655595812894872 -0.07655634286115902 -0.07655595812157115 -0.07655634285379838 2.9751425348017144 -2.9744432977325865 2.975142536697615 -2.974443299627937 0.024929435066843548 0.9750648579574684 0.024929435056139426 0.9750648579681727 0.024979586995880043 0.9750150160662248 0.02497958700016345 0.9750150160619464
2.8000000000000003 0.9537814356256002 0.9537814354757596 -0.01389925094561701 0.02174411835938587 0.021744118331231844 0.9990428430609201 0.9894969137475861 0.9894866664176033 0.989496909302958 0.9894866619745764 1.5884654772535955 1.5884654767867241 -1.587664595143343 -1.5876645946759305 -0.07387533596545239 -0.07387571888630715 -0.07387533601951479 -0.07387571894035555 3.105117424136707 -3.1043316935207748 3.105117409117545 -3.1043316785097357 0.0231064286993559 0.9768878643249561 0.02310642877427622 0.9768878642500358 0.02315655671648509 0.976838029826119 0.023156556684976237 0.9768380298576174
2.9000000000000004 0.9570428893639185 0.9570428913465027 -0.014498483392852316 0.02029696043427823 0.020296960821529847 0.9991624710945324 0.9904268934629781 0.9904162094014599 0.9904269575216481 0.9904162734397204 1.652152930243554 1.6521529361132254 -1.6512596167779163 -1.6512596226518346 -0.07137056661407098 -0.07137095192036039 -0.07137056586573048 -0.07137095117228977 3.23478422088757 -3.2339051428773606 3.234784444317098 -3.233905366186803 0.02147570183019679 0.9785185911941152 0.021475700838904703 0.9785185921854074 0.021525830132743784 0.9784687437013599 0.02152583056366797 0.9784687432704922
3.0 0.9599719301273848 0.9599717194106195 -0.0059824274027055185 0.018987447191310857 0.018987403984260843 0.9992640720389719 0.9913040476073808 0.9912919258678434 0.99129662624986 0.9912845069189948 1.7157694120244367 1.7157688863444314 -1.714780455608558 -1.714779929650928 -0.06902552174668704 -0.06902594410886033 -0.06902560475724322 -0.06902602708984844 3.364188703444147 -3.3632091601250673 3.364162067280003 -3.363182539224924 0.020011181448463616 0.9799831115758484 0.02001128680684627 0.9799830062174658 0.020061396210139415 0.9799331861577705 0.02006134836399176 0.9799332340000388
